rank,type_,code,name,premium,share
1,L,431,SAMMONS ENTERPRISES GRP,"244,311,123",8.48%
2,L,918,JACKSON NATL GRP,"237,705,128",8.25%
3,L,304,PRUDENTIAL OF AMER GRP,"207,051,931",7.19%
4,L,12,AMERICAN INTL GRP,"174,023,933",6.04%
5,L,3891,GOLDMAN SACHS GRP,"145,799,521",5.06%
6,L,826,NEW YORK LIFE GRP,"137,993,806",4.79%
7,L,761,ALLIANZ INS GRP,"137,192,561",4.76%
8,L,20,LINCOLN NATL GRP,"135,238,725",4.69%
9,L,1216,TIAA FAMILY GRP,"134,231,617",4.66%
10,L,84,AMERICAN FINANCIAL GRP,"105,758,795",3.67%
11,L,4832,VOYA FINANCIAL GRP,"100,207,177",3.48%
12,L,4734,ATHENE GRP,"80,829,008",2.81%
13,L,241,METROPOLITAN GRP,"79,097,375",2.74%
14,L,968,AXA INS GRP,"69,748,895",2.42%
15,L,458,PROTECTIVE LIFE INS GRP,"58,651,872",2.04%
16,L,709,PACIFIC LIFE GRP,"57,951,815",2.01%
17,L,435,MASS MUT LIFE INS GRP,"52,477,121",1.82%
18,L,4855,SUMITOMO LIFE INS GRP,"48,326,057",1.68%
19,L,468,AEGON US HOLDING GRP,"47,357,793",1.64%
20,L,769,GREAT WEST GRP,"46,613,585",1.62%
21,L,2658,AMERICAN EQUITY INVESTMENT GRP,"45,053,987",1.56%
22,L,4,AMERIPRISE FIN GRP,"40,928,410",1.42%
23,L,619,ONEAMERICA FIN PARTNERS GRP,"37,006,272",1.28%
24,F,57541,MODERN WOODMEN OF AMER,"35,418,373",1.23%
25,L,943,AMERITAS MUT HOLDING GRP,"35,064,829",1.22%
26,L,332,PRINCIPAL FIN GRP,"30,259,278",1.05%
27,L,836,WEST SOUTHERN GRP,"26,357,065",0.91%
28,L,408,AMERICAN NATL FIN GRP,"26,326,595",0.91%
29,L,869,MINNESOTA MUT GRP,"20,939,049",0.73%
30,L,261,MUTUAL OF OMAHA GRP,"20,935,375",0.73%
31,L,860,NORTHWESTERN MUT GRP,"20,759,841",0.72%
32,F,57320,WOODMEN WORLD LIFE INS SOC,"18,903,620",0.66%
33,L,3098,TOKIO MARINE HOLDINGS INC GRP,"18,676,796",0.65%
34,L,176,STATE FARM GRP,"18,555,419",0.64%
35,L,200,UNITED SERV AUTOMOBILE ASSN GRP,"15,849,342",0.55%
36,L,4794,DELAWARE LIFE HOLDING GRP,"14,080,681",0.49%
37,B,2938,THRIVENT FINANCIAL FOR LUTHERANS GRP,"13,998,459",0.49%
38,L,429,GUARDIAN LIFE GRP,"13,805,540",0.48%
39,L,981,FIDELITY INVESTMENT INS & ANN GRP,"11,670,057",0.40%
40,L,704,OHIO NATL LIFE GRP,"11,215,197",0.39%
41,L,62510,EQUITRUST LIFE INS CO,"10,584,853",0.37%
42,L,1348,MEIJI YASUDA LIFE INS GRP,"8,552,705",0.30%
43,L,634,NATIONAL LIFE GRP,"8,429,077",0.29%
44,L,306,CUNA MUT GRP,"7,157,519",0.25%
45,L,169,SENTRY INS GRP,"6,901,661",0.24%
46,L,4836,JEFFERSON NATIONAL GRP,"5,009,824",0.17%
47,L,66850,NATIONAL WESTERN LIFE INS CO,"4,892,466",0.17%
48,L,367,PHYSICIANS MUT GRP,"4,754,089",0.16%
49,L,140,NATIONWIDE CORP GRP,"4,277,802",0.15%
50,L,4011,GENWORTH FIN GRP,"4,244,436",0.15%
51,L,233,CNO FINANCIAL GRP,"4,231,810",0.15%
52,L,4736,GGC GRP,"3,605,222",0.13%
53,L,5,ALFA INS GRP,"3,357,951",0.12%
54,L,91,HARTFORD FIRE & CAS GRP,"3,184,812",0.11%
55,L,330,AMERICAN FIDELITY CORP GRP,"2,970,135",0.10%
56,L,111,LIBERTY MUT GRP,"2,465,710",0.09%
57,L,280,AUTO OWNERS GRP,"1,582,410",0.05%
58,L,3436,LIBERTY LIFE GRP TRUST GRP,"1,520,816",0.05%
59,L,4827,SOUTHLAND NATL HOLDING GRP,"1,354,682",0.05%
60,L,4731,HARBINGER GRP,"1,334,635",0.05%
61,L,850,PENN MUT GRP,"1,292,597",0.04%
62,L,588,KANSAS CITY LIFE INS GRP,"1,184,637",0.04%
63,L,300,HORACE MANN GRP,"1,176,266",0.04%
64,L,290,TORCHMARK CORP GRP,"1,125,107",0.04%
65,L,60445,SAGICOR LIFE INS CO,"1,071,945",0.04%
66,L,50,COUNTRY INS & FIN SERV GRP,"915,175",0.03%
67,L,244,CINCINNATI FIN GRP,"887,389",0.03%
68,L,4824,ADVANTAGE CAPITAL GRP,"766,082",0.03%
69,L,801,DIRECTORS INVESTMENT GRP,"667,487",0.02%
70,L,1117,MANHATTAN LIFE GRP,"619,001",0.02%
71,L,8,ALLSTATE INS GRP,"590,313",0.02%
72,L,7,FEDERATED MUT GRP,"534,333",0.02%
73,L,872,BANNER LIFE GRP,"502,658",0.02%
74,L,344,CHURCH PENSION FUND GRP,"493,068",0.02%
75,L,4815,RESOLUTION LIFE GRP,"485,180",0.02%
76,L,64238,GUARANTY INCOME LIFE INS CO,"412,147",0.01%
77,L,904,JOHN HANCOCK GRP,"253,110",0.01%
78,L,450,GENEVE HOLDINGS INC GRP,"242,021",0.01%
79,L,689,BANKERS INS GRP,"235,416",0.01%
80,L,62928,EMC NATL LIFE CO,"167,248",0.01%
81,L,19,ASSURANT INC GRP,"151,505",0.01%
82,L,212,ZURICH INS GRP,"125,650",0%
83,L,63495,FORESTERS LIFE INS ANN CO,"119,666",0%
84,L,454,SECURITY NATL GRP,"109,834",0%
85,L,513,IOWA FARM BUREAU GRP,"99,914",0%
86,L,68896,SOUTHERN FARM BUREAU LIFE INS CO,"99,378",0%
87,L,1211,NATIONAL GUARDIAN LIFE INS GRP,"94,048",0%
88,L,4853,AAA LIFE GRP,"92,000",0%
89,L,315,INDUSTRIAL ALLIANCE GRP,"86,770",0%
90,L,264,HEALTHMARKETS GRP,"65,265",0%
91,L,64505,HOMESTEADERS LIFE CO,"64,837",0%
92,F,56685,GBU FINANCIAL LIFE,"53,763",0%
93,F,56332,FIRST CATH SLOVAK LADIES ASSN USA,"46,500",0%
94,F,56456,UNITED STATES LETTER CARRIERS MUT BE,"40,113",0%
95,L,63223,FEDERAL LIFE INS CO,"37,887",0%
96,L,28,AMICA MUT GRP,"35,190",0%
97,F,56030,CATHOLIC FINANCIAL LIFE,"26,250",0%
98,L,707,UNITEDHEALTH GRP,"24,776",0%
99,L,4750,PRIMERICA GRP,"20,490",0%
100,L,65412,LIFE INS CO OF AL,"14,489",0%
101,L,291,MOTORISTS MUT GRP,"12,500",0%
102,L,449,FINANCIAL HOLDINGS GRP,"10,722",0%
103,L,248,UNITED FIRE & CAS GRP,"8,750",0%
104,L,1280,GREAT WESTERN CO GRP,"8,210",0%
105,L,4764,RESERVOIR CAPITAL GRP,"7,998",0%
106,F,56413,UNITED TRANSPORTATION UNION INS ASSN,"7,773",0%
107,L,4752,FIRST TRINITY FIN GRP,"7,500",0%
108,L,901,CIGNA HLTH GRP,"6,595",0%
109,L,153,PEKIN INS GRP,"5,500",0%
110,L,4877,TWA & AMFI CORP GRP,"4,580",0%
111,L,4862,ASSURITY GRP,"3,600",0%
112,L,119,HUMANA GRP,"3,361",0%
113,L,276,TRUSTMARK MUT HOLDING CO GRP,"2,740",0%
114,L,64904,INVESTORS HERITAGE LIFE INS CO,"2,585",0%
115,F,58068,INDEPENDENT ORDER OF FORESTERS US BR,"2,400",0%
116,L,69132,STATE MUT INS CO,"2,000",0%
117,L,65927,LINCOLN HERITAGE LIFE INS CO,"1,818",0%
118,F,57487,CATHOLIC ORDER OF FORESTERS,"1,753",0%
119,L,612,CITIZENS GRP,"1,625",0%
120,L,215,KEMPER CORP GRP,"1,320",0%
121,L,549,SUN LIFE ASSUR CO OF CN GRP,"1,291",0%
122,F,58009,POLICE & FIREMENS INS ASSN,"1,200",0%
122,L,4712,GPM LIFE GRP,"1,200",0%
124,F,56154,GLEANER LIFE INS SOCIETY,"1,142",0%
125,L,71404,CONTINENTAL GEN INS CO,"1,020",0%
1,L,826,NEW YORK LIFE GRP,"53,234,305",14.34%
2,L,20,LINCOLN NATL GRP,"36,694,601",9.88%
3,L,4832,VOYA FINANCIAL GRP,"32,772,831",8.83%
4,L,918,JACKSON NATL GRP,"26,814,854",7.22%
5,L,12,AMERICAN INTL GRP,"23,305,150",6.28%
6,L,1216,TIAA FAMILY GRP,"15,904,676",4.28%
7,L,769,GREAT WEST GRP,"15,504,657",4.18%
8,L,304,PRUDENTIAL OF AMER GRP,"13,592,561",3.66%
9,L,619,ONEAMERICA FIN PARTNERS GRP,"12,348,190",3.33%
10,L,241,METROPOLITAN GRP,"11,546,878",3.11%
11,L,761,ALLIANZ INS GRP,"9,522,280",2.57%
12,L,968,AXA INS GRP,"8,564,411",2.31%
13,L,4794,DELAWARE LIFE HOLDING GRP,"8,351,938",2.25%
14,L,4844,LIA HOLDINGS GRP,"7,500,000",2.02%
15,L,200,UNITED SERV AUTOMOBILE ASSN GRP,"6,312,708",1.70%
16,L,4,AMERIPRISE FIN GRP,"6,280,570",1.69%
17,L,431,SAMMONS ENTERPRISES GRP,"6,223,656",1.68%
18,L,332,PRINCIPAL FIN GRP,"4,735,165",1.28%
19,L,3891,GOLDMAN SACHS GRP,"4,573,335",1.23%
20,L,2658,AMERICAN EQUITY INVESTMENT GRP,"4,566,993",1.23%
21,L,4731,HARBINGER GRP,"4,400,303",1.19%
22,B,2938,THRIVENT FINANCIAL FOR LUTHERANS GRP,"4,352,138",1.17%
23,L,468,AEGON US HOLDING GRP,"4,053,322",1.09%
24,L,981,FIDELITY INVESTMENT INS & ANN GRP,"4,016,047",1.08%
25,L,4855,SUMITOMO LIFE INS GRP,"3,802,586",1.02%
26,L,306,CUNA MUT GRP,"3,649,905",0.98%
27,L,709,PACIFIC LIFE GRP,"3,589,555",0.97%
28,L,408,AMERICAN NATL FIN GRP,"3,127,815",0.84%
29,L,435,MASS MUT LIFE INS GRP,"2,757,775",0.74%
30,L,4734,ATHENE GRP,"2,724,229",0.73%
31,L,869,MINNESOTA MUT GRP,"2,491,527",0.67%
32,L,429,GUARDIAN LIFE GRP,"2,319,060",0.62%
33,L,300,HORACE MANN GRP,"1,923,127",0.52%
34,L,169,SENTRY INS GRP,"1,813,422",0.49%
35,L,176,STATE FARM GRP,"1,762,132",0.47%
36,L,4836,JEFFERSON NATIONAL GRP,"1,720,201",0.46%
37,L,449,FINANCIAL HOLDINGS GRP,"1,656,334",0.45%
38,L,84,AMERICAN FINANCIAL GRP,"1,334,870",0.36%
39,L,3436,LIBERTY LIFE GRP TRUST GRP,"1,218,012",0.33%
40,L,574,AMERCO CORP GRP,"1,162,119",0.31%
41,L,330,AMERICAN FIDELITY CORP GRP,"1,155,789",0.31%
42,L,704,OHIO NATL LIFE GRP,"1,095,151",0.30%
43,L,1348,MEIJI YASUDA LIFE INS GRP,"1,017,004",0.27%
44,L,860,NORTHWESTERN MUT GRP,"646,257",0.17%
45,L,91,HARTFORD FIRE & CAS GRP,"614,484",0.17%
46,L,62510,EQUITRUST LIFE INS CO,"586,055",0.16%
47,L,458,PROTECTIVE LIFE INS GRP,"463,774",0.12%
48,L,140,NATIONWIDE CORP GRP,"420,704",0.11%
49,L,634,NATIONAL LIFE GRP,"401,800",0.11%
50,F,57142,SONS OF NORWAY,"400,766",0.11%
51,L,4011,GENWORTH FIN GRP,"298,018",0.08%
52,L,1117,MANHATTAN LIFE GRP,"293,657",0.08%
53,L,836,WEST SOUTHERN GRP,"289,559",0.08%
54,L,904,JOHN HANCOCK GRP,"173,206",0.05%
55,L,8,ALLSTATE INS GRP,"166,179",0.04%
56,L,3098,TOKIO MARINE HOLDINGS INC GRP,"152,299",0.04%
57,L,872,BANNER LIFE GRP,"131,724",0.04%
58,L,50,COUNTRY INS & FIN SERV GRP,"123,378",0.03%
59,L,4815,RESOLUTION LIFE GRP,"100,644",0.03%
60,L,19,ASSURANT INC GRP,"65,714",0.02%
61,L,60445,SAGICOR LIFE INS CO,"60,000",0.02%
62,F,57541,MODERN WOODMEN OF AMER,"58,904",0.02%
63,L,4827,SOUTHLAND NATL HOLDING GRP,"58,740",0.02%
64,L,588,KANSAS CITY LIFE INS GRP,"52,702",0.01%
65,L,801,DIRECTORS INVESTMENT GRP,"41,585",0.01%
66,L,261,MUTUAL OF OMAHA GRP,"29,799",0.01%
67,L,943,AMERITAS MUT HOLDING GRP,"24,805",0.01%
68,L,513,IOWA FARM BUREAU GRP,"24,150",0.01%
69,F,56456,UNITED STATES LETTER CARRIERS MUT BE,"22,115",0.01%
70,L,450,GENEVE HOLDINGS INC GRP,"21,782",0.01%
71,L,212,ZURICH INS GRP,"18,652",0.01%
72,L,233,CNO FINANCIAL GRP,"16,781",0%
73,F,57320,WOODMEN WORLD LIFE INS SOC,"14,188",0%
74,L,344,CHURCH PENSION FUND GRP,"13,289",0%
75,L,315,INDUSTRIAL ALLIANCE GRP,"8,361",0%
76,L,4853,AAA LIFE GRP,"6,150",0%
77,L,64505,HOMESTEADERS LIFE CO,"5,095",0%
78,L,1211,NATIONAL GUARDIAN LIFE INS GRP,"4,715",0%
79,B,4616,EVERENCE GRP,"3,000",0%
80,F,56413,UNITED TRANSPORTATION UNION INS ASSN,"2,300",0%
81,L,454,SECURITY NATL GRP,"1,390",0%
82,L,535,COLUMBIAN LIFE GRP,"1,200",0%
83,L,526,MAXIMUM CORP GRP,721,0%
84,L,264,HEALTHMARKETS GRP,591,0%
85,F,56154,GLEANER LIFE INS SOCIETY,550,0%
86,F,57657,ROYAL NEIGHBORS OF AMER,465,0%
87,L,4712,GPM LIFE GRP,400,0%
88,F,56030,CATHOLIC FINANCIAL LIFE,350,0%
89,L,111,LIBERTY MUT GRP,300,0%
90,L,4750,PRIMERICA GRP,183,0%
91,F,56499,ASSURED LIFE ASSN,150,0%
92,L,2878,UNITED HERITAGE MUT GRP,144,0%
93,L,65927,LINCOLN HERITAGE LIFE INS CO,100,0%
94,L,70130,UNIVERSAL GUAR LIFE INS CO,80,0%
95,L,572,BCBS OF MI GRP,71,0%
96,L,119,HUMANA GRP,14,0%
97,L,901,CIGNA HLTH GRP,12,0%
1,L,12,AMERICAN INTL GRP,"401,681,894",8.50%
2,L,431,SAMMONS ENTERPRISES GRP,"371,161,487",7.86%
3,L,918,JACKSON NATL GRP,"323,852,606",6.85%
4,L,826,NEW YORK LIFE GRP,"256,040,384",5.42%
5,L,761,ALLIANZ INS GRP,"249,881,315",5.29%
6,L,2658,AMERICAN EQUITY INVESTMENT GRP,"228,220,841",4.83%
7,L,304,PRUDENTIAL OF AMER GRP,"220,082,079",4.66%
8,L,20,LINCOLN NATL GRP,"210,243,307",4.45%
9,L,4734,ATHENE GRP,"185,824,011",3.93%
10,L,968,AXA INS GRP,"180,136,950",3.81%
11,L,241,METROPOLITAN GRP,"161,984,540",3.43%
12,L,4832,VOYA FINANCIAL GRP,"153,749,052",3.25%
13,L,4731,HARBINGER GRP,"135,749,738",2.87%
14,L,4855,SUMITOMO LIFE INS GRP,"114,824,349",2.43%
15,L,1216,TIAA FAMILY GRP,"102,015,944",2.16%
16,L,468,AEGON US HOLDING GRP,"98,744,656",2.09%
17,L,3891,GOLDMAN SACHS GRP,"83,979,716",1.78%
18,L,4,AMERIPRISE FIN GRP,"81,467,111",1.72%
19,B,2938,THRIVENT FINANCIAL FOR LUTHERANS GRP,"78,957,702",1.67%
20,L,769,GREAT WEST GRP,"76,669,912",1.62%
21,L,709,PACIFIC LIFE GRP,"76,603,744",1.62%
22,L,332,PRINCIPAL FIN GRP,"71,426,726",1.51%
23,L,435,MASS MUT LIFE INS GRP,"71,284,989",1.51%
24,L,200,UNITED SERV AUTOMOBILE ASSN GRP,"53,120,953",1.12%
25,L,66850,NATIONAL WESTERN LIFE INS CO,"51,277,480",1.09%
26,L,84,AMERICAN FINANCIAL GRP,"47,409,323",1.00%
27,L,619,ONEAMERICA FIN PARTNERS GRP,"44,458,776",0.94%
28,L,981,FIDELITY INVESTMENT INS & ANN GRP,"39,493,673",0.84%
29,L,869,MINNESOTA MUT GRP,"36,213,243",0.77%
30,L,836,WEST SOUTHERN GRP,"34,296,967",0.73%
31,L,634,NATIONAL LIFE GRP,"33,835,119",0.72%
32,L,62510,EQUITRUST LIFE INS CO,"29,698,936",0.63%
33,L,429,GUARDIAN LIFE GRP,"28,378,727",0.60%
34,L,408,AMERICAN NATL FIN GRP,"27,422,251",0.58%
35,L,458,PROTECTIVE LIFE INS GRP,"26,982,085",0.57%
36,L,704,OHIO NATL LIFE GRP,"23,892,965",0.51%
37,L,176,STATE FARM GRP,"23,005,006",0.49%
38,L,306,CUNA MUT GRP,"20,884,677",0.44%
39,L,860,NORTHWESTERN MUT GRP,"19,522,178",0.41%
40,L,943,AMERITAS MUT HOLDING GRP,"19,443,696",0.41%
41,F,56693,GREEK CATHOLIC UNION OF THE USA,"18,565,888",0.39%
42,L,4836,JEFFERSON NATIONAL GRP,"16,917,424",0.36%
43,L,513,IOWA FARM BUREAU GRP,"13,952,876",0.30%
44,L,84174,ELCO MUT LIFE & ANN,"13,245,628",0.28%
45,L,4794,DELAWARE LIFE HOLDING GRP,"12,464,976",0.26%
46,L,1348,MEIJI YASUDA LIFE INS GRP,"9,936,484",0.21%
47,L,449,FINANCIAL HOLDINGS GRP,"9,674,625",0.20%
48,L,3098,TOKIO MARINE HOLDINGS INC GRP,"8,980,400",0.19%
49,L,261,MUTUAL OF OMAHA GRP,"8,650,624",0.18%
50,L,140,NATIONWIDE CORP GRP,"8,204,946",0.17%
51,L,60445,SAGICOR LIFE INS CO,"8,109,779",0.17%
52,L,367,PHYSICIANS MUT GRP,"7,446,766",0.16%
53,L,91,HARTFORD FIRE & CAS GRP,"7,393,030",0.16%
54,L,1117,MANHATTAN LIFE GRP,"6,420,097",0.14%
55,L,233,CNO FINANCIAL GRP,"6,408,157",0.14%
56,F,57541,MODERN WOODMEN OF AMER,"6,219,725",0.13%
57,L,212,ZURICH INS GRP,"6,126,699",0.13%
58,L,4011,GENWORTH FIN GRP,"5,652,811",0.12%
59,L,169,SENTRY INS GRP,"5,295,147",0.11%
60,L,4736,GGC GRP,"4,191,685",0.09%
61,L,574,AMERCO CORP GRP,"3,885,935",0.08%
62,L,904,JOHN HANCOCK GRP,"3,233,758",0.07%
63,L,111,LIBERTY MUT GRP,"3,163,537",0.07%
64,L,872,BANNER LIFE GRP,"3,149,749",0.07%
65,L,300,HORACE MANN GRP,"2,911,203",0.06%
66,L,280,AUTO OWNERS GRP,"2,440,582",0.05%
67,F,57657,ROYAL NEIGHBORS OF AMER,"2,232,834",0.05%
68,L,850,PENN MUT GRP,"2,155,860",0.05%
69,L,50,COUNTRY INS & FIN SERV GRP,"2,142,041",0.05%
70,L,4824,ADVANTAGE CAPITAL GRP,"1,688,258",0.04%
71,L,8,ALLSTATE INS GRP,"1,444,118",0.03%
72,L,689,BANKERS INS GRP,"1,331,719",0.03%
73,L,91910,AMERICAN SAVINGS LIFE INS CO,"1,290,101",0.03%
74,L,4815,RESOLUTION LIFE GRP,"1,215,793",0.03%
75,L,64238,GUARANTY INCOME LIFE INS CO,"1,179,894",0.02%
76,L,63495,FORESTERS LIFE INS ANN CO,"1,164,868",0.02%
77,L,3436,LIBERTY LIFE GRP TRUST GRP,"1,161,254",0.02%
78,L,801,DIRECTORS INVESTMENT GRP,"869,658",0.02%
79,L,330,AMERICAN FIDELITY CORP GRP,"694,907",0.01%
80,F,56340,FIRST CATH SLOVAK UNION OF US & CN,"627,518",0.01%
81,F,57487,CATHOLIC ORDER OF FORESTERS,"605,850",0.01%
82,F,56456,UNITED STATES LETTER CARRIERS MUT BE,"561,347",0.01%
83,L,1211,NATIONAL GUARDIAN LIFE INS GRP,"529,189",0.01%
84,L,473,AMERICAN FAMILY INS GRP,"523,264",0.01%
85,L,588,KANSAS CITY LIFE INS GRP,"461,355",0.01%
86,L,4827,SOUTHLAND NATL HOLDING GRP,"427,082",0.01%
87,F,57320,WOODMEN WORLD LIFE INS SOC,"422,698",0.01%
88,L,7,FEDERATED MUT GRP,"420,400",0.01%
89,L,450,GENEVE HOLDINGS INC GRP,"404,032",0.01%
90,L,4712,GPM LIFE GRP,"342,218",0.01%
91,F,56499,ASSURED LIFE ASSN,"338,956",0.01%
92,L,4752,FIRST TRINITY FIN GRP,"301,465",0.01%
93,F,56685,GBU FINANCIAL LIFE,"286,721",0.01%
94,L,775,PHARMACISTS MUT GRP,"277,400",0.01%
95,L,1280,GREAT WESTERN CO GRP,"271,245",0.01%
96,F,56154,GLEANER LIFE INS SOCIETY,"218,700",0%
97,L,315,INDUSTRIAL ALLIANCE GRP,"195,753",0%
98,L,62928,EMC NATL LIFE CO,"178,472",0%
99,F,56030,CATHOLIC FINANCIAL LIFE,"162,465",0%
100,L,19,ASSURANT INC GRP,"146,276",0%
101,L,153,PEKIN INS GRP,"137,626",0%
102,L,290,TORCHMARK CORP GRP,"135,746",0%
103,L,953,UNIVERSAL AMER FIN CORP GRP,"129,000",0%
104,F,58033,KNIGHTS OF COLUMBUS,"125,000",0%
105,L,248,UNITED FIRE & CAS GRP,"115,839",0%
106,F,56782,NATIONAL SLOVAK SOCIETY OF THE USA,"101,532",0%
107,L,451,FIDELITY SECURITY GRP,"100,888",0%
108,F,56332,FIRST CATH SLOVAK LADIES ASSN USA,"98,794",0%
109,L,64505,HOMESTEADERS LIFE CO,"97,356",0%
110,L,344,CHURCH PENSION FUND GRP,"93,367",0%
111,L,535,COLUMBIAN LIFE GRP,"88,772",0%
112,F,56413,UNITED TRANSPORTATION UNION INS ASSN,"86,379",0%
113,F,57010,WILLIAM PENN ASSN,"84,972",0%
114,L,615,BENEFICIAL LIFE GRP,"79,121",0%
115,F,56227,KSKJ LIFE AMER SLOVENIAN CATHOLIC UN,"66,000",0%
116,L,4877,TWA & AMFI CORP GRP,"65,947",0%
117,L,28,AMICA MUT GRP,"61,094",0%
118,L,707,UNITEDHEALTH GRP,"54,945",0%
119,L,213,ERIE INS GRP,"53,625",0%
120,L,525,PAN AMER LIFE GRP,"51,740",0%
121,L,4853,AAA LIFE GRP,"49,100",0%
122,L,244,CINCINNATI FIN GRP,"42,307",0%
123,B,4616,EVERENCE GRP,"40,100",0%
124,F,57142,SONS OF NORWAY,"30,600",0%
125,F,56073,NATIONAL MUT BENEFIT,"30,200",0%
1,L,918,JACKSON NATL GRP,"127,037,594",8.59%
2,L,1216,TIAA FAMILY GRP,"120,176,265",8.13%
3,L,12,AMERICAN INTL GRP,"109,010,795",7.37%
4,L,304,PRUDENTIAL OF AMER GRP,"89,517,971",6.05%
5,L,431,SAMMONS ENTERPRISES GRP,"87,255,780",5.90%
6,L,4832,VOYA FINANCIAL GRP,"60,605,436",4.10%
7,L,4734,ATHENE GRP,"59,327,525",4.01%
8,L,3891,GOLDMAN SACHS GRP,"55,643,383",3.76%
9,L,826,NEW YORK LIFE GRP,"45,369,329",3.07%
10,L,241,METROPOLITAN GRP,"41,251,986",2.79%
11,L,968,AXA INS GRP,"39,323,144",2.66%
12,L,20,LINCOLN NATL GRP,"37,524,012",2.54%
13,L,4,AMERIPRISE FIN GRP,"35,863,824",2.42%
14,L,2658,AMERICAN EQUITY INVESTMENT GRP,"35,138,901",2.38%
15,L,761,ALLIANZ INS GRP,"32,041,728",2.17%
16,F,57541,MODERN WOODMEN OF AMER,"28,167,400",1.90%
17,L,4855,SUMITOMO LIFE INS GRP,"26,018,574",1.76%
18,L,468,AEGON US HOLDING GRP,"25,893,865",1.75%
19,L,68896,SOUTHERN FARM BUREAU LIFE INS CO,"24,654,460",1.67%
20,B,2938,THRIVENT FINANCIAL FOR LUTHERANS GRP,"24,269,519",1.64%
21,L,261,MUTUAL OF OMAHA GRP,"23,897,076",1.62%
22,L,4731,HARBINGER GRP,"22,815,954",1.54%
23,L,435,MASS MUT LIFE INS GRP,"22,681,431",1.53%
24,L,84,AMERICAN FINANCIAL GRP,"19,285,641",1.30%
25,L,836,WEST SOUTHERN GRP,"19,097,324",1.29%
26,L,709,PACIFIC LIFE GRP,"18,279,194",1.24%
27,L,176,STATE FARM GRP,"18,019,829",1.22%
28,L,860,NORTHWESTERN MUT GRP,"17,480,390",1.18%
29,L,704,OHIO NATL LIFE GRP,"15,800,645",1.07%
30,L,3098,TOKIO MARINE HOLDINGS INC GRP,"14,368,269",0.97%
31,L,458,PROTECTIVE LIFE INS GRP,"12,849,449",0.87%
32,L,408,AMERICAN NATL FIN GRP,"12,220,984",0.83%
33,L,62510,EQUITRUST LIFE INS CO,"12,163,250",0.82%
34,L,332,PRINCIPAL FIN GRP,"9,405,284",0.64%
35,L,84174,ELCO MUT LIFE & ANN,"8,884,852",0.60%
36,F,57320,WOODMEN WORLD LIFE INS SOC,"8,459,620",0.57%
37,L,769,GREAT WEST GRP,"8,408,086",0.57%
38,L,869,MINNESOTA MUT GRP,"8,001,013",0.54%
39,L,4794,DELAWARE LIFE HOLDING GRP,"7,620,010",0.52%
40,L,200,UNITED SERV AUTOMOBILE ASSN GRP,"6,179,106",0.42%
41,L,66850,NATIONAL WESTERN LIFE INS CO,"5,984,217",0.40%
42,L,634,NATIONAL LIFE GRP,"5,856,933",0.40%
43,L,4836,JEFFERSON NATIONAL GRP,"5,331,343",0.36%
44,L,619,ONEAMERICA FIN PARTNERS GRP,"5,111,807",0.35%
45,L,4736,GGC GRP,"4,628,815",0.31%
46,L,83836,SELECTED FUNERAL & LIFE INS CO,"4,338,027",0.29%
47,L,169,SENTRY INS GRP,"3,774,207",0.26%
48,L,981,FIDELITY INVESTMENT INS & ANN GRP,"3,674,799",0.25%
49,L,73881,AMERICAN LIFE & ANNUITY CO,"3,401,060",0.23%
50,L,140,NATIONWIDE CORP GRP,"3,112,537",0.21%
51,L,91,HARTFORD FIRE & CAS GRP,"2,894,482",0.20%
52,L,111,LIBERTY MUT GRP,"2,567,690",0.17%
53,L,330,AMERICAN FIDELITY CORP GRP,"2,562,168",0.17%
54,L,233,CNO FINANCIAL GRP,"2,558,416",0.17%
55,L,3436,LIBERTY LIFE GRP TRUST GRP,"2,536,502",0.17%
56,L,454,SECURITY NATL GRP,"2,345,072",0.16%
57,L,612,CITIZENS GRP,"2,260,792",0.15%
58,L,429,GUARDIAN LIFE GRP,"2,042,929",0.14%
59,L,212,ZURICH INS GRP,"1,837,406",0.12%
60,L,4011,GENWORTH FIN GRP,"1,830,276",0.12%
61,L,588,KANSAS CITY LIFE INS GRP,"1,550,167",0.10%
62,L,574,AMERCO CORP GRP,"1,470,372",0.10%
63,L,449,FINANCIAL HOLDINGS GRP,"1,313,242",0.09%
64,L,123,SHELTER INS GRP,"1,127,587",0.08%
65,L,943,AMERITAS MUT HOLDING GRP,"1,125,797",0.08%
66,L,4815,RESOLUTION LIFE GRP,"1,076,029",0.07%
67,L,8,ALLSTATE INS GRP,"954,550",0.06%
68,L,84115,JACKSON GRIFFIN INS CO,"827,969",0.06%
69,L,83860,AMERICAN HOME LIFE INS CO,"809,987",0.05%
