rank,type_,code,name,premium,share
1,L,826,NEW YORK LIFE GRP,"165,221,792",7.22%
2,L,860,NORTHWESTERN MUT GRP,"153,309,125",6.70%
3,L,241,METROPOLITAN GRP,"150,091,410",6.56%
4,L,290,TORCHMARK CORP GRP,"138,781,300",6.06%
5,L,5,ALFA INS GRP,"131,816,830",5.76%
6,L,435,MASS MUT LIFE INS GRP,"104,934,078",4.58%
7,L,176,STATE FARM GRP,"92,999,290",4.06%
8,L,304,PRUDENTIAL OF AMER GRP,"81,880,853",3.58%
9,L,458,PROTECTIVE LIFE INS GRP,"79,434,797",3.47%
10,L,20,LINCOLN NATL GRP,"63,668,274",2.78%
11,L,12,AMERICAN INTL GRP,"54,771,776",2.39%
12,L,565,UNUMPROVIDENT CORP GRP,"47,884,846",2.09%
13,L,468,AEGON US HOLDING GRP,"47,195,204",2.06%
14,L,261,MUTUAL OF OMAHA GRP,"39,629,535",1.73%
15,L,429,GUARDIAN LIFE GRP,"36,127,614",1.58%
16,L,4750,PRIMERICA GRP,"35,368,587",1.55%
17,L,904,JOHN HANCOCK GRP,"34,853,176",1.52%
18,L,968,AXA INS GRP,"32,521,160",1.42%
19,L,215,KEMPER CORP GRP,"32,029,910",1.40%
20,L,869,MINNESOTA MUT GRP,"26,643,257",1.16%
21,L,91,HARTFORD FIRE & CAS GRP,"24,407,436",1.07%
22,L,332,PRINCIPAL FIN GRP,"22,905,381",1.00%
23,L,431,SAMMONS ENTERPRISES GRP,"21,956,374",0.96%
24,F,57320,WOODMEN WORLD LIFE INS SOC,"21,837,309",0.95%
25,L,4832,VOYA FINANCIAL GRP,"20,996,390",0.92%
26,L,4011,GENWORTH FIN GRP,"19,520,648",0.85%
27,L,111,LIBERTY MUT GRP,"19,122,101",0.84%
28,L,4815,RESOLUTION LIFE GRP,"18,156,219",0.79%
29,L,943,AMERITAS MUT HOLDING GRP,"18,038,913",0.79%
30,L,200,UNITED SERV AUTOMOBILE ASSN GRP,"17,222,609",0.75%
31,L,19,ASSURANT INC GRP,"16,915,572",0.74%
32,L,709,PACIFIC LIFE GRP,"16,863,786",0.74%
33,L,140,NATIONWIDE CORP GRP,"16,735,772",0.73%
34,L,306,CUNA MUT GRP,"16,220,642",0.71%
35,L,3891,GOLDMAN SACHS GRP,"15,214,176",0.66%
36,L,901,CIGNA HLTH GRP,"15,110,994",0.66%
37,L,619,ONEAMERICA FIN PARTNERS GRP,"14,636,435",0.64%
38,L,1348,MEIJI YASUDA LIFE INS GRP,"13,931,081",0.61%
39,L,769,GREAT WEST GRP,"13,881,483",0.61%
40,L,918,JACKSON NATL GRP,"13,496,295",0.59%
41,L,549,SUN LIFE ASSUR CO OF CN GRP,"13,307,053",0.58%
42,L,65927,LINCOLN HERITAGE LIFE INS CO,"13,097,284",0.57%
43,L,8,ALLSTATE INS GRP,"12,872,900",0.56%
44,L,704,OHIO NATL LIFE GRP,"12,800,037",0.56%
45,F,58068,INDEPENDENT ORDER OF FORESTERS US BR,"12,432,173",0.54%
46,L,50,COUNTRY INS & FIN SERV GRP,"11,685,836",0.51%
47,L,1216,TIAA FAMILY GRP,"10,181,029",0.44%
48,L,4213,WILTON RE GRP,"10,009,487",0.44%
49,L,370,AFLAC GRP,"9,948,258",0.43%
50,F,57541,MODERN WOODMEN OF AMER,"9,603,515",0.42%
51,L,233,CNO FINANCIAL GRP,"9,519,773",0.42%
52,L,212,ZURICH INS GRP,"9,407,642",0.41%
53,L,4,AMERIPRISE FIN GRP,"9,398,329",0.41%
54,L,634,NATIONAL LIFE GRP,"8,892,549",0.39%
55,L,4483,NESTLE SA GRP,"8,735,805",0.38%
56,L,872,BANNER LIFE GRP,"8,304,658",0.36%
57,L,408,AMERICAN NATL FIN GRP,"8,206,112",0.36%
58,L,3098,TOKIO MARINE HOLDINGS INC GRP,"8,165,548",0.36%
59,L,315,INDUSTRIAL ALLIANCE GRP,"6,831,608",0.30%
60,L,77879,5 STAR LIFE INS CO,"6,484,785",0.28%
61,L,836,WEST SOUTHERN GRP,"6,186,204",0.27%
62,L,1211,NATIONAL GUARDIAN LIFE INS GRP,"6,082,911",0.27%
63,L,581,BOSTON MUT GRP,"6,005,953",0.26%
64,L,4824,ADVANTAGE CAPITAL GRP,"5,967,039",0.26%
65,L,850,PENN MUT GRP,"5,776,140",0.25%
66,L,367,PHYSICIANS MUT GRP,"5,489,845",0.24%
67,L,876,ARKANSAS BCBS GRP,"5,363,120",0.23%
68,L,4855,SUMITOMO LIFE INS GRP,"5,221,148",0.23%
69,L,4736,GGC GRP,"5,217,278",0.23%
70,L,244,CINCINNATI FIN GRP,"4,906,304",0.21%
71,L,1,AETNA GRP,"4,724,463",0.21%
72,L,4731,HARBINGER GRP,"4,716,841",0.21%
73,L,4853,AAA LIFE GRP,"4,428,904",0.19%
74,L,280,AUTO OWNERS GRP,"4,287,021",0.19%
75,L,64505,HOMESTEADERS LIFE CO,"4,250,592",0.19%
76,F,58033,KNIGHTS OF COLUMBUS,"4,200,994",0.18%
77,L,1280,GREAT WESTERN CO GRP,"4,023,760",0.18%
78,B,2938,THRIVENT FINANCIAL FOR LUTHERANS GRP,"3,970,007",0.17%
79,L,588,KANSAS CITY LIFE INS GRP,"3,842,129",0.17%
80,L,761,ALLIANZ INS GRP,"3,755,400",0.16%
81,L,4827,SOUTHLAND NATL HOLDING GRP,"3,367,105",0.15%
82,L,4716,FORTRESS GRP,"3,067,159",0.13%
83,L,330,AMERICAN FIDELITY CORP GRP,"3,039,710",0.13%
84,L,62510,EQUITRUST LIFE INS CO,"3,017,112",0.13%
85,L,63290,FIDELITY LIFE ASSN A LEGAL RESERVE L,"2,973,984",0.13%
86,L,264,HEALTHMARKETS GRP,"2,951,285",0.13%
87,L,7,FEDERATED MUT GRP,"2,781,987",0.12%
88,L,65412,LIFE INS CO OF AL,"2,724,041",0.12%
89,L,449,FINANCIAL HOLDINGS GRP,"2,629,705",0.11%
90,L,4718,TIPTREE FIN GRP,"2,619,840",0.11%
91,L,67032,NORTH CAROLINA MUT LIFE INS CO,"2,608,942",0.11%
92,L,917,HCSC GRP,"2,358,567",0.10%
93,L,316,NATIONAL SECURITY GRP,"2,357,678",0.10%
94,L,4734,ATHENE GRP,"2,175,157",0.10%
95,L,67393,OZARK NATL LIFE INS CO,"2,074,570",0.09%
96,L,68896,SOUTHERN FARM BUREAU LIFE INS CO,"1,795,097",0.08%
97,L,276,TRUSTMARK MUT HOLDING CO GRP,"1,763,236",0.08%
98,L,542,INDIANA FARM BUREAU GRP,"1,630,750",0.07%
99,L,300,HORACE MANN GRP,"1,502,265",0.07%
100,L,3436,LIBERTY LIFE GRP TRUST GRP,"1,401,757",0.06%
101,L,248,UNITED FIRE & CAS GRP,"1,362,889",0.06%
102,L,525,PAN AMER LIFE GRP,"1,332,379",0.06%
103,L,2658,AMERICAN EQUITY INVESTMENT GRP,"1,319,677",0.06%
104,L,4712,GPM LIFE GRP,"1,293,276",0.06%
105,L,4764,RESERVOIR CAPITAL GRP,"1,236,607",0.05%
106,L,69132,STATE MUT INS CO,"1,174,737",0.05%
107,L,61212,BALTIMORE LIFE INS CO,"1,162,628",0.05%
108,L,4862,ASSURITY GRP,"1,128,494",0.05%
109,L,629,PLATEAU GRP,"1,111,692",0.05%
110,L,66850,NATIONAL WESTERN LIFE INS CO,"1,095,476",0.05%
111,L,707,UNITEDHEALTH GRP,"1,080,583",0.05%
112,L,62928,EMC NATL LIFE CO,"1,040,838",0.05%
113,L,78662,SENIOR LIFE INS CO,"1,029,531",0.04%
114,L,450,GENEVE HOLDINGS INC GRP,"1,014,317",0.04%
115,L,63819,UNITY FINANCIAL LIFE INS CO,"997,285",0.04%
116,L,454,SECURITY NATL GRP,"945,279",0.04%
117,L,4553,SAVINGS BANK LIFE GRP,"884,608",0.04%
118,L,451,FIDELITY SECURITY GRP,"713,788",0.03%
119,L,801,DIRECTORS INVESTMENT GRP,"665,605",0.03%
120,L,535,COLUMBIAN LIFE GRP,"658,929",0.03%
121,L,80020,MOUNTAIN LIFE INS CO,"657,593",0.03%
122,L,626,CHUBB LTD GRP,"641,112",0.03%
123,L,4725,ENSTAR GRP,"627,246",0.03%
124,L,2538,AMTRUST NGH GRP,"619,513",0.03%
125,L,87920,LOCOMOTIVE ENGINEERS & CONDUCTORS MU,"513,294",0.02%
1,L,304,PRUDENTIAL OF AMER GRP,"97,061,096",22.78%
2,L,4844,LIA HOLDINGS GRP,"73,355,055",17.21%
3,L,826,NEW YORK LIFE GRP,"53,680,056",12.60%
4,L,212,ZURICH INS GRP,"23,590,877",5.54%
5,L,241,METROPOLITAN GRP,"16,409,702",3.85%
6,L,176,STATE FARM GRP,"14,637,800",3.43%
7,L,565,UNUMPROVIDENT CORP GRP,"10,195,239",2.39%
8,L,20,LINCOLN NATL GRP,"9,297,232",2.18%
9,L,869,MINNESOTA MUT GRP,"6,864,244",1.61%
10,L,860,NORTHWESTERN MUT GRP,"5,843,840",1.37%
11,L,468,AEGON US HOLDING GRP,"5,660,638",1.33%
12,L,200,UNITED SERV AUTOMOBILE ASSN GRP,"4,929,305",1.16%
13,L,431,SAMMONS ENTERPRISES GRP,"4,915,518",1.15%
14,L,904,JOHN HANCOCK GRP,"4,686,367",1.10%
15,L,1,AETNA GRP,"4,630,173",1.09%
16,L,4832,VOYA FINANCIAL GRP,"4,445,545",1.04%
17,L,4815,RESOLUTION LIFE GRP,"4,243,682",1.00%
18,L,290,TORCHMARK CORP GRP,"4,120,963",0.97%
19,L,4750,PRIMERICA GRP,"4,054,523",0.95%
20,L,458,PROTECTIVE LIFE INS GRP,"4,053,405",0.95%
21,L,12,AMERICAN INTL GRP,"3,779,622",0.89%
22,L,91,HARTFORD FIRE & CAS GRP,"3,321,274",0.78%
23,L,709,PACIFIC LIFE GRP,"3,232,917",0.76%
24,L,435,MASS MUT LIFE INS GRP,"3,197,800",0.75%
25,L,968,AXA INS GRP,"2,662,070",0.62%
26,L,332,PRINCIPAL FIN GRP,"2,512,876",0.59%
27,L,3891,GOLDMAN SACHS GRP,"2,405,878",0.56%
28,B,2938,THRIVENT FINANCIAL FOR LUTHERANS GRP,"2,367,468",0.56%
29,L,769,GREAT WEST GRP,"2,199,472",0.52%
30,L,429,GUARDIAN LIFE GRP,"2,094,608",0.49%
31,L,50,COUNTRY INS & FIN SERV GRP,"2,088,027",0.49%
32,L,261,MUTUAL OF OMAHA GRP,"2,036,342",0.48%
33,L,4011,GENWORTH FIN GRP,"1,977,363",0.46%
34,L,876,ARKANSAS BCBS GRP,"1,907,874",0.45%
35,L,8,ALLSTATE INS GRP,"1,801,158",0.42%
36,L,549,SUN LIFE ASSUR CO OF CN GRP,"1,798,499",0.42%
37,L,4,AMERIPRISE FIN GRP,"1,679,318",0.39%
38,L,4855,SUMITOMO LIFE INS GRP,"1,535,814",0.36%
39,L,634,NATIONAL LIFE GRP,"1,522,420",0.36%
40,L,1348,MEIJI YASUDA LIFE INS GRP,"1,448,417",0.34%
41,L,3098,TOKIO MARINE HOLDINGS INC GRP,"1,445,244",0.34%
42,L,140,NATIONWIDE CORP GRP,"1,411,482",0.33%
43,L,901,CIGNA HLTH GRP,"1,382,659",0.32%
44,L,872,BANNER LIFE GRP,"1,122,136",0.26%
45,L,918,JACKSON NATL GRP,"1,000,919",0.23%
46,L,4731,HARBINGER GRP,"871,025",0.20%
47,L,761,ALLIANZ INS GRP,"869,430",0.20%
48,L,306,CUNA MUT GRP,"862,538",0.20%
49,L,619,ONEAMERICA FIN PARTNERS GRP,"803,192",0.19%
50,L,1216,TIAA FAMILY GRP,"771,626",0.18%
51,L,19,ASSURANT INC GRP,"654,277",0.15%
52,L,4483,NESTLE SA GRP,"643,296",0.15%
53,L,408,AMERICAN NATL FIN GRP,"608,609",0.14%
54,L,4213,WILTON RE GRP,"606,889",0.14%
55,L,370,AFLAC GRP,"583,097",0.14%
56,L,64505,HOMESTEADERS LIFE CO,"570,684",0.13%
57,L,4734,ATHENE GRP,"540,102",0.13%
58,L,4736,GGC GRP,"527,643",0.12%
59,L,943,AMERITAS MUT HOLDING GRP,"517,673",0.12%
60,L,4853,AAA LIFE GRP,"438,062",0.10%
61,L,300,HORACE MANN GRP,"413,550",0.10%
62,L,77879,5 STAR LIFE INS CO,"403,795",0.09%
63,L,690,CENTRAL STATES GRP,"401,385",0.09%
64,L,836,WEST SOUTHERN GRP,"375,659",0.09%
65,L,850,PENN MUT GRP,"366,501",0.09%
66,L,330,AMERICAN FIDELITY CORP GRP,"349,798",0.08%
67,L,233,CNO FINANCIAL GRP,"349,429",0.08%
68,L,588,KANSAS CITY LIFE INS GRP,"349,324",0.08%
69,L,111,LIBERTY MUT GRP,"344,526",0.08%
70,L,63290,FIDELITY LIFE ASSN A LEGAL RESERVE L,"297,755",0.07%
71,L,367,PHYSICIANS MUT GRP,"294,990",0.07%
72,L,704,OHIO NATL LIFE GRP,"290,191",0.07%
73,F,58033,KNIGHTS OF COLUMBUS,"217,291",0.05%
74,F,58068,INDEPENDENT ORDER OF FORESTERS US BR,"200,752",0.05%
75,F,57142,SONS OF NORWAY,"186,854",0.04%
76,L,4553,SAVINGS BANK LIFE GRP,"171,483",0.04%
77,L,315,INDUSTRIAL ALLIANCE GRP,"159,104",0.04%
78,L,65927,LINCOLN HERITAGE LIFE INS CO,"135,666",0.03%
79,L,615,BENEFICIAL LIFE GRP,"105,621",0.02%
80,L,781,UNION LABOR GRP,"103,244",0.02%
81,L,3527,AMERICAN ENTERPRISE MUT GRP,"101,799",0.02%
82,L,449,FINANCIAL HOLDINGS GRP,"101,208",0.02%
83,L,473,AMERICAN FAMILY INS GRP,"100,791",0.02%
84,L,525,PAN AMER LIFE GRP,"100,507",0.02%
85,L,1211,NATIONAL GUARDIAN LIFE INS GRP,"95,337",0.02%
86,L,513,IOWA FARM BUREAU GRP,"93,800",0.02%
87,F,57541,MODERN WOODMEN OF AMER,"81,513",0.02%
88,L,4836,JEFFERSON NATIONAL GRP,"64,691",0.02%
89,L,344,CHURCH PENSION FUND GRP,"56,784",0.01%
90,L,69310,SURETY LIFE INS CO,"55,606",0.01%
91,L,4862,ASSURITY GRP,"54,610",0.01%
92,F,57320,WOODMEN WORLD LIFE INS SOC,"47,963",0.01%
93,L,4794,DELAWARE LIFE HOLDING GRP,"47,083",0.01%
94,L,244,CINCINNATI FIN GRP,"46,764",0.01%
95,L,264,HEALTHMARKETS GRP,"46,143",0.01%
96,L,4716,FORTRESS GRP,"44,009",0.01%
97,L,4712,GPM LIFE GRP,"43,192",0.01%
98,L,4827,SOUTHLAND NATL HOLDING GRP,"43,176",0.01%
99,L,707,UNITEDHEALTH GRP,"42,479",0.01%
100,L,169,SENTRY INS GRP,"42,055",0.01%
101,L,276,TRUSTMARK MUT HOLDING CO GRP,"40,382",0.01%
102,L,626,CHUBB LTD GRP,"39,427",0.01%
103,L,801,DIRECTORS INVESTMENT GRP,"38,643",0.01%
104,L,28,AMICA MUT GRP,"38,597",0.01%
105,L,4725,ENSTAR GRP,"38,218",0.01%
106,L,84,AMERICAN FINANCIAL GRP,"37,296",0.01%
107,L,213,ERIE INS GRP,"34,747",0.01%
108,L,981,FIDELITY INVESTMENT INS & ANN GRP,"32,236",0.01%
109,L,68772,SECURITY MUT LIFE INS CO OF NY,"29,775",0.01%
110,L,67393,OZARK NATL LIFE INS CO,"26,731",0.01%
111,L,88668,MUTUAL OF AMER LIFE INS CO,"26,643",0.01%
112,L,350,GENERAL ELECTRIC GRP,"25,735",0.01%
113,L,4877,TWA & AMFI CORP GRP,"24,379",0.01%
114,L,581,BOSTON MUT GRP,"24,148",0.01%
115,L,2878,UNITED HERITAGE MUT GRP,"22,439",0.01%
116,L,153,PEKIN INS GRP,"20,139",0%
117,L,542,INDIANA FARM BUREAU GRP,"19,554",0%
118,L,66850,NATIONAL WESTERN LIFE INS CO,"19,126",0%
119,L,61212,BALTIMORE LIFE INS CO,"18,359",0%
120,L,450,GENEVE HOLDINGS INC GRP,"17,481",0%
121,L,535,COLUMBIAN LIFE GRP,"15,841",0%
122,F,57657,ROYAL NEIGHBORS OF AMER,"14,812",0%
123,L,280,AUTO OWNERS GRP,"13,908",0%
124,L,64580,ILLINOIS MUT LIFE INS CO,"13,221",0%
125,L,150,OLD REPUBLIC GRP,"13,040",0%
1,L,304,PRUDENTIAL OF AMER GRP,"174,905,742",7.41%
2,L,241,METROPOLITAN GRP,"153,166,487",6.49%
3,L,826,NEW YORK LIFE GRP,"118,430,661",5.02%
4,L,860,NORTHWESTERN MUT GRP,"106,265,841",4.50%
5,L,20,LINCOLN NATL GRP,"99,634,433",4.22%
6,L,176,STATE FARM GRP,"77,162,089",3.27%
7,L,869,MINNESOTA MUT GRP,"75,853,935",3.21%
8,L,709,PACIFIC LIFE GRP,"73,693,382",3.12%
9,L,435,MASS MUT LIFE INS GRP,"68,199,337",2.89%
10,L,904,JOHN HANCOCK GRP,"66,888,291",2.83%
11,L,468,AEGON US HOLDING GRP,"64,194,273",2.72%
12,L,91,HARTFORD FIRE & CAS GRP,"52,703,361",2.23%
13,L,4832,VOYA FINANCIAL GRP,"48,262,251",2.05%
14,L,458,PROTECTIVE LIFE INS GRP,"45,375,934",1.92%
15,L,431,SAMMONS ENTERPRISES GRP,"43,847,558",1.86%
16,L,901,CIGNA HLTH GRP,"42,337,263",1.79%
17,L,140,NATIONWIDE CORP GRP,"42,279,375",1.79%
18,L,212,ZURICH INS GRP,"41,532,649",1.76%
19,L,4750,PRIMERICA GRP,"41,104,134",1.74%
20,L,12,AMERICAN INTL GRP,"37,447,385",1.59%
21,L,261,MUTUAL OF OMAHA GRP,"36,444,152",1.54%
22,L,968,AXA INS GRP,"35,345,377",1.50%
23,L,429,GUARDIAN LIFE GRP,"34,989,736",1.48%
24,B,2938,THRIVENT FINANCIAL FOR LUTHERANS GRP,"27,568,552",1.17%
25,L,4815,RESOLUTION LIFE GRP,"26,633,380",1.13%
26,L,200,UNITED SERV AUTOMOBILE ASSN GRP,"25,190,655",1.07%
27,L,4011,GENWORTH FIN GRP,"25,006,480",1.06%
28,L,565,UNUMPROVIDENT CORP GRP,"24,681,527",1.05%
29,L,332,PRINCIPAL FIN GRP,"24,212,377",1.03%
30,L,290,TORCHMARK CORP GRP,"23,349,884",0.99%
