rank,type_,code,name,premium,share
1,L,304,PRUDENTIAL OF AMER GRP,"332,817,569",4.48%
2,L,826,NEW YORK LIFE GRP,"324,431,234",4.37%
3,L,241,METROPOLITAN GRP,"318,557,768",4.29%
4,L,707,UNITEDHEALTH GRP,"315,482,700",4.25%
5,L,431,SAMMONS ENTERPRISES GRP,"267,592,757",3.60%
6,L,918,JACKSON NATL GRP,"251,940,804",3.39%
7,L,12,AMERICAN INTL GRP,"250,654,170",3.37%
8,L,435,MASS MUT LIFE INS GRP,"218,963,037",2.95%
9,L,20,LINCOLN NATL GRP,"218,555,817",2.94%
10,L,290,TORCHMARK CORP GRP,"205,217,851",2.76%
11,L,860,NORTHWESTERN MUT GRP,"197,721,220",2.66%
12,L,904,JOHN HANCOCK GRP,"190,888,248",2.57%
13,L,332,PRINCIPAL FIN GRP,"180,199,862",2.43%
14,L,468,AEGON US HOLDING GRP,"169,705,387",2.28%
15,L,140,NATIONWIDE CORP GRP,"165,946,046",2.23%
16,L,3891,GOLDMAN SACHS GRP,"161,279,887",2.17%
17,L,1216,TIAA FAMILY GRP,"146,871,982",1.98%
18,L,565,UNUMPROVIDENT CORP GRP,"143,706,014",1.93%
19,L,761,ALLIANZ INS GRP,"143,583,271",1.93%
20,L,458,PROTECTIVE LIFE INS GRP,"141,992,515",1.91%
21,L,5,ALFA INS GRP,"137,431,772",1.85%
22,L,370,AFLAC GRP,"135,517,276",1.82%
23,L,4832,VOYA FINANCIAL GRP,"129,679,316",1.75%
24,L,176,STATE FARM GRP,"112,189,384",1.51%
25,L,91,HARTFORD FIRE & CAS GRP,"110,397,649",1.49%
26,L,1,AETNA GRP,"109,929,630",1.48%
27,L,261,MUTUAL OF OMAHA GRP,"107,864,225",1.45%
28,L,84,AMERICAN FINANCIAL GRP,"106,438,655",1.43%
29,L,901,CIGNA HLTH GRP,"105,663,799",1.42%
30,L,968,AXA INS GRP,"104,928,156",1.41%
31,L,429,GUARDIAN LIFE GRP,"98,770,155",1.33%
32,L,4734,ATHENE GRP,"83,548,298",1.12%
33,L,709,PACIFIC LIFE GRP,"75,231,961",1.01%
34,L,4855,SUMITOMO LIFE INS GRP,"65,377,670",0.88%
35,L,943,AMERITAS MUT HOLDING GRP,"61,504,768",0.83%
36,L,869,MINNESOTA MUT GRP,"61,350,132",0.83%
37,L,769,GREAT WEST GRP,"61,065,028",0.82%
38,L,306,CUNA MUT GRP,"59,773,533",0.80%
39,L,4011,GENWORTH FIN GRP,"55,560,691",0.75%
40,L,3098,TOKIO MARINE HOLDINGS INC GRP,"55,161,526",0.74%
41,L,619,ONEAMERICA FIN PARTNERS GRP,"54,212,697",0.73%
42,L,4,AMERIPRISE FIN GRP,"53,733,641",0.72%
43,L,1348,MEIJI YASUDA LIFE INS GRP,"51,809,093",0.70%
44,L,2658,AMERICAN EQUITY INVESTMENT GRP,"46,640,269",0.63%
45,F,57541,MODERN WOODMEN OF AMER,"45,028,459",0.61%
46,F,57320,WOODMEN WORLD LIFE INS SOC,"44,588,330",0.60%
47,L,330,AMERICAN FIDELITY CORP GRP,"39,071,456",0.53%
48,L,408,AMERICAN NATL FIN GRP,"37,591,220",0.51%
49,L,215,KEMPER CORP GRP,"37,041,706",0.50%
50,L,111,LIBERTY MUT GRP,"36,499,215",0.49%
51,L,200,UNITED SERV AUTOMOBILE ASSN GRP,"35,624,810",0.48%
52,L,4750,PRIMERICA GRP,"35,442,446",0.48%
53,L,8,ALLSTATE INS GRP,"33,196,989",0.45%
54,L,836,WEST SOUTHERN GRP,"32,796,270",0.44%
55,L,704,OHIO NATL LIFE GRP,"29,116,682",0.39%
56,L,549,SUN LIFE ASSUR CO OF CN GRP,"28,747,780",0.39%
57,L,19,ASSURANT INC GRP,"28,243,449",0.38%
58,L,233,CNO FINANCIAL GRP,"24,128,062",0.32%
59,L,451,FIDELITY SECURITY GRP,"22,525,261",0.30%
60,L,367,PHYSICIANS MUT GRP,"22,498,913",0.30%
61,L,4815,RESOLUTION LIFE GRP,"19,729,453",0.27%
62,B,2938,THRIVENT FINANCIAL FOR LUTHERANS GRP,"18,830,839",0.25%
63,L,634,NATIONAL LIFE GRP,"17,821,501",0.24%
64,L,4794,DELAWARE LIFE HOLDING GRP,"14,275,683",0.19%
65,L,62510,EQUITRUST LIFE INS CO,"14,165,047",0.19%
66,L,4736,GGC GRP,"13,731,362",0.18%
67,L,1211,NATIONAL GUARDIAN LIFE INS GRP,"13,198,560",0.18%
68,L,65927,LINCOLN HERITAGE LIFE INS CO,"13,111,512",0.18%
69,L,50,COUNTRY INS & FIN SERV GRP,"13,003,778",0.18%
70,F,58068,INDEPENDENT ORDER OF FORESTERS US BR,"12,514,055",0.17%
71,L,88668,MUTUAL OF AMER LIFE INS CO,"12,125,628",0.16%
72,L,981,FIDELITY INVESTMENT INS & ANN GRP,"11,755,399",0.16%
73,L,65412,LIFE INS CO OF AL,"11,551,327",0.16%
74,L,661,BCBS OF SC GRP,"11,124,314",0.15%
75,L,4483,NESTLE SA GRP,"10,922,452",0.15%
76,L,4827,SOUTHLAND NATL HOLDING GRP,"10,609,610",0.14%
77,L,4213,WILTON RE GRP,"10,517,253",0.14%
78,L,212,ZURICH INS GRP,"9,808,276",0.13%
79,L,581,BOSTON MUT GRP,"9,383,979",0.13%
80,L,850,PENN MUT GRP,"9,306,501",0.13%
81,L,876,ARKANSAS BCBS GRP,"8,932,336",0.12%
82,L,872,BANNER LIFE GRP,"8,807,449",0.12%
83,L,4824,ADVANTAGE CAPITAL GRP,"7,887,646",0.11%
84,L,169,SENTRY INS GRP,"7,363,277",0.10%
85,L,520,NEW ERA LIFE GRP,"7,132,103",0.10%
86,L,315,INDUSTRIAL ALLIANCE GRP,"6,921,803",0.09%
87,L,450,GENEVE HOLDINGS INC GRP,"6,751,096",0.09%
88,L,4718,TIPTREE FIN GRP,"6,552,906",0.09%
89,L,77879,5 STAR LIFE INS CO,"6,528,275",0.09%
90,L,4836,JEFFERSON NATIONAL GRP,"6,328,569",0.09%
91,L,280,AUTO OWNERS GRP,"6,293,653",0.08%
92,L,4731,HARBINGER GRP,"6,051,476",0.08%
93,L,66850,NATIONAL WESTERN LIFE INS CO,"5,987,942",0.08%
94,L,588,KANSAS CITY LIFE INS GRP,"5,924,332",0.08%
95,L,244,CINCINNATI FIN GRP,"5,881,238",0.08%
96,L,4853,AAA LIFE GRP,"5,833,136",0.08%
97,F,58033,KNIGHTS OF COLUMBUS,"5,633,375",0.08%
98,L,4716,FORTRESS GRP,"5,451,002",0.07%
99,L,4796,NATIONAL TEACHERS ASSOC LIFE GROUP,"5,149,185",0.07%
100,L,812,HIGHMARK GRP,"5,028,932",0.07%
101,L,264,HEALTHMARKETS GRP,"4,977,020",0.07%
102,L,64505,HOMESTEADERS LIFE CO,"4,315,428",0.06%
103,L,917,HCSC GRP,"4,280,450",0.06%
104,L,1117,MANHATTAN LIFE GRP,"4,123,060",0.06%
105,L,1280,GREAT WESTERN CO GRP,"4,031,970",0.05%
106,L,7,FEDERATED MUT GRP,"3,795,865",0.05%
107,L,316,NATIONAL SECURITY GRP,"3,697,739",0.05%
108,L,626,CHUBB LTD GRP,"3,668,688",0.05%
109,L,839,WESTBRIDGE CAPITAL GRP,"3,533,950",0.05%
110,L,71404,CONTINENTAL GEN INS CO,"3,084,448",0.04%
111,L,276,TRUSTMARK MUT HOLDING CO GRP,"3,074,079",0.04%
112,L,63290,FIDELITY LIFE ASSN A LEGAL RESERVE L,"3,041,108",0.04%
113,L,3436,LIBERTY LIFE GRP TRUST GRP,"2,922,573",0.04%
114,L,3527,AMERICAN ENTERPRISE MUT GRP,"2,791,165",0.04%
115,L,62952,EQUITABLE LIFE & CAS INS CO,"2,724,334",0.04%
116,L,300,HORACE MANN GRP,"2,703,312",0.04%
117,L,449,FINANCIAL HOLDINGS GRP,"2,662,793",0.04%
118,L,67032,NORTH CAROLINA MUT LIFE INS CO,"2,610,182",0.04%
119,L,687,GUARANTEE TRUST GRP,"2,408,941",0.03%
120,L,4862,ASSURITY GRP,"2,169,318",0.03%
121,L,525,PAN AMER LIFE GRP,"2,103,458",0.03%
122,L,67393,OZARK NATL LIFE INS CO,"2,082,024",0.03%
123,L,23,BCS INS GRP,"2,034,818",0.03%
124,L,68896,SOUTHERN FARM BUREAU LIFE INS CO,"2,024,720",0.03%
125,L,11121,UNIFIED LIFE INS CO,"2,007,083",0.03%
1,L,304,PRUDENTIAL OF AMER GRP,"122,871,172",8.98%
2,L,826,NEW YORK LIFE GRP,"110,450,253",8.07%
3,L,1,AETNA GRP,"95,194,359",6.96%
4,L,904,JOHN HANCOCK GRP,"82,594,442",6.04%
5,L,4844,LIA HOLDINGS GRP,"80,855,055",5.91%
6,L,306,CUNA MUT GRP,"54,578,276",3.99%
7,L,707,UNITEDHEALTH GRP,"53,445,731",3.91%
8,L,4832,VOYA FINANCIAL GRP,"48,201,448",3.52%
9,L,20,LINCOLN NATL GRP,"47,154,825",3.45%
10,L,241,METROPOLITAN GRP,"37,782,968",2.76%
11,L,12,AMERICAN INTL GRP,"32,047,263",2.34%
12,L,88668,MUTUAL OF AMER LIFE INS CO,"28,203,238",2.06%
13,L,468,AEGON US HOLDING GRP,"27,884,004",2.04%
14,L,918,JACKSON NATL GRP,"27,862,851",2.04%
15,L,565,UNUMPROVIDENT CORP GRP,"26,139,676",1.91%
16,L,869,MINNESOTA MUT GRP,"23,690,958",1.73%
17,L,212,ZURICH INS GRP,"23,645,661",1.73%
18,L,901,CIGNA HLTH GRP,"22,221,865",1.62%
